time_of_day,track_name,artist_name,bpm
Morning,Bulletproof Heart,My Chemical Romance,Medium
Night,The Boys of Summer,The Ataris,High
Night,Can't Be Saved,Senses Fail,High
Night,The Quiet Things That No One Ever Knows,Brand New,High
Night,I Lay My Love on You - Remix,Westlife,Medium
Night,Just Want You to Know,Backstreet Boys,Medium
Night,Tearin' up My Heart - Radio Edit,*NSYNC,Medium
Night,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Medium
Night,About You Now,Sugababes,High
Morning,Unknown Track,Unknown Artist,Low
Evening,Unknown Track,Unknown Artist,Low
Evening,Beautiful Trauma,P!nk,Medium
Evening,A Little Bit of Love,Andreas Johnson,High
Evening,Marie,Magnum Bonum,High
Evening,Teddybjörnen Fredriksson,Lasse Berghagen,Low
Evening,Smooth Operator - Single Version,Sade,Medium
Evening,I'll Be Around (feat. Timbaland) - Club Mix,CeeLo Green,Medium
Evening,Your Song,Rita Ora,High
Evening,Amour plastique,Videoclub,Medium
Evening,This Feeling,The Chainsmokers,Medium
Evening,Good Life,OneRepublic,High
Evening,I Just Called To Say I Love You,Stevie Wonder,Medium
Evening,Without You,Mariah Carey,Medium
Evening,Whole Again,Atomic Kitten,Medium
Evening,Someone You Loved,Lewis Capaldi,Medium
Evening,I'm Like A Bird,Nelly Furtado,Low
Evening,Imaginary,Brennan Heart,High
Evening,Never Let Me Go,Timmy Trumpet,Low
Evening,Devil's Night,Ghost Stories,High
Evening,Helena,My Chemical Romance,Medium
Evening,Vindicated,Dashboard Confessional,Medium
Evening,Six Feet Under,Smash Into Pieces,High
Evening,Temple Of Light,Wildstylez,Medium
Evening,What About Us,Audiotricz,Medium
Evening,Cynical,blink-182,Medium
Evening,The Other Side,Hugh Jackman,Medium
Evening,Wish You The Best,Lewis Capaldi,Low
Evening,Darkside,blink-182,Medium
Evening,The Great Escape,BOYS LIKE GIRLS,Medium
Evening,From Yesterday,Thirty Seconds To Mars,Medium
Evening,Adam's Song,blink-182,Medium
Evening,The Elite,Coone,Medium
Evening,Bored to Death,blink-182,Medium
Evening,What's My Age Again?,blink-182,Medium
Evening,Always,Gavin James,Low
Night,"Dear Maria, Count Me In",All Time Low,High
Night,Forget Me,Lewis Capaldi,Medium
Night,Teenagers,My Chemical Romance,Medium
Night,Good Life,OneRepublic,High
Night,From Yesterday,Thirty Seconds To Mars,Medium
Night,Cruel Summer,Taylor Swift,Medium
Night,Physical,Dua Lipa,Medium
Night,Without You,Mariah Carey,Medium
Night,What About Us,Audiotricz,Medium
Night,Welcome to the Black Parade,My Chemical Romance,Low
Night,I Miss You,blink-182,High
Night,Cardio,Timmy Trumpet,Medium
Night,Wish You The Best,Lewis Capaldi,Low
Night,Whole Again,Atomic Kitten,Medium
Morning,I'm Like A Bird,Nelly Furtado,Low
Afternoon,Whole Again,Atomic Kitten,Medium
Afternoon,Devil's Night,Ghost Stories,High
Afternoon,Darkside,blink-182,Medium
Afternoon,Helena,My Chemical Romance,Medium
Afternoon,Cancer,My Chemical Romance,Low
Afternoon,Special,Charlotte Sands,Medium
Afternoon,Less Than Zero,The Weeknd,High
Afternoon,Always,Gavin James,Low
Afternoon,Kingdom,Downstait,Medium
Afternoon,Hands Down,Dashboard Confessional,Medium
Afternoon,"Dear Maria, Count Me In",All Time Low,High
Afternoon,The Great Escape,BOYS LIKE GIRLS,Medium
Afternoon,Cannonball,Avril Lavigne,Medium
Afternoon,Unknown Track,Unknown Artist,Low
Afternoon,From Yesterday,Thirty Seconds To Mars,Medium
Afternoon,The Kill,Thirty Seconds To Mars,High
Afternoon,This Is War,Thirty Seconds To Mars,Medium
Afternoon,Famous Last Words,My Chemical Romance,High
Afternoon,Pointless,Lewis Capaldi,Medium
Afternoon,Wish You The Best,Lewis Capaldi,Low
Afternoon,I'm Like A Bird,Nelly Furtado,Low
Evening,Famous Last Words,My Chemical Romance,High
Evening,Pointless,Lewis Capaldi,Medium
Evening,The Pretender,Lewis Capaldi,High
Evening,Stockholm,Peg Parnevik,Medium
Evening,Mandy,Luc1ano,Medium
Evening,Year 3000,Busted,Medium
Evening,I'm In Love,Sanna Nielsen,Medium
Evening,Heaven Is A Place On Earth,Belinda Carlisle,Medium
Evening,Boys Will Be Boys,Dua Lipa,Medium
Evening,Break My Heart,Dua Lipa,Medium
Evening,Physical,Dua Lipa,Medium
Evening,IDGAF,Dua Lipa,Medium
Evening,Houdini,Dua Lipa,High
Evening,Rhythm Of The Night,Sound Rush,Medium
Evening,Das Boot,Noisecontrollers,Medium
Evening,Starlight,Frequencerz,Medium
Evening,Victorious,Psyko Punkz,Medium
Evening,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,Low
Evening,The Best Of Me,The Starting Line,Medium
Evening,Cruel Summer,Taylor Swift,Medium
Evening,Farväl,Bolaget,Medium
Evening,On The Floor,Jennifer Lopez,Medium
Evening,Crazy In Love (feat. Jay-Z),Beyoncé,Medium
Night,Unknown Track,Unknown Artist,Low
Night,Unstoppable,Sia,Medium
Night,Never Let Go,descent,Medium
Night,Send Me On My Way,Rusted Root,Medium
Night,Renegades,X Ambassadors,Medium
Night,Sail,AWOLNATION,Medium
Night,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,Medium
Night,I Dreamed A Dream,Roofies Dragon,Low
Night,Bliss,Theodore Brim,Medium
Night,Sumi,Zamphire,High
Night,Glorious,Andreas Johnson,High
Night,Everytime,Britney Spears,High
Night,Kiss from a Rose,Seal,Medium
Night,Hero,Enrique Iglesias,Medium
Night,White Flag,Dido,High
Night,Pin the Grenade,blink-182,High
Night,1985,Bowling For Soup,Medium
